code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume,occupiable_volume_pct,specific_accessible_area,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections
OSO,179.48,1998.77,179.48,1998.77,134.77,19.95,134.77,19.95,2656.22,2656.22,6.7,4.2,6.07,3.41,3.41,5.87,13.3,10.101,10.101,7.647,90.0,90.0,120.0,747.0,0.645,3,27.0,25.0,1.0,6.0,8.0,21.0
OWE,184.74,1157.24,184.74,1157.24,96.71,10.35,96.71,10.35,1977.83,1977.83,6.4,4.4,5.78,3.79,3.6,1.82,17.1,14.355,7.166,9.08,90.0,90.0,90.0,809.0,0.685714,2,48.0,38.0,2.0,7.0,11.0,24.0
PAR,214.45,671.7,214.45,671.7,64.43,3.67,64.43,3.67,1221.02,1221.02,4.9,2.7,4.21,1.07,1.8,3.61,19.5,21.555,8.761,9.304,90.0,91.55,90.0,773.0,0.664915,1,100.0,40.0,2.0,12.0,10.0,41.0
PAU,9906.83,1477.6,9906.83,1477.6,5237.48,12.39,5237.48,12.39,2343.02,2343.02,11.1,4.7,10.48,4.07,4.07,4.07,15.9,34.838,34.838,34.838,90.0,90.0,90.0,728.0,0.623377,3,2016.0,1188.0,66.0,219.0,237.0,528.0
PCR,425.98,711.59,450.82,753.08,220.54,6.89,224.49,7.02,1331.26,1408.87,6.7,4.8,6.03,1.51,3.16,4.2,18.8,20.1437,14.0723,12.5223,90.0,115.651,90.0,1029.0,,2,180.0,76.0,8.0,24.0,24.0,48.0
PHI,455.64,1427.14,455.64,1427.14,193.3,9.89,193.3,9.89,2332.21,2332.21,6.0,4.3,5.4,3.69,3.11,3.31,16.4,9.89,14.064,14.046,90.0,90.0,90.0,751.0,0.635556,3,96.0,32.0,4.0,8.0,12.0,16.0
PON,214.06,893.95,214.06,893.95,92.91,7.04,92.91,7.04,1620.96,1620.96,4.5,3.9,4.93,4.3,1.97,2.21,18.2,8.914,9.209,16.087,90.0,90.0,90.0,845.0,0.725,1,72.0,52.0,0.0,27.0,24.0,27.0
POS,759.02,1188.68,760.97,1191.73,817.75,19.86,817.79,19.86,1843.08,1847.82,,,7.27,5.68,5.68,6.58,15.5,18.7661,18.7661,11.69394,90.0,90.0,90.0,806.0,,3,,,,,,
PSI,,,,,,,,,,,,,,,,,20.7,8.22809,22.45626,37.89111,90.0,90.0,90.0,939.0,,1,,,,,,
PUN,625.91,1742.6,625.91,1742.6,360.12,14.97,360.12,14.97,2602.25,2602.25,6.2,4.2,5.51,4.35,4.35,3.41,15.0,14.689,8.645,18.941,90.0,90.0,90.0,731.0,,3,108.0,16.0,2.0,44.0,18.0,167.0
RHO,710.69,1483.99,710.69,1483.99,685.13,20.63,685.13,20.63,2140.24,2140.24,11.1,4.7,10.43,4.06,4.06,4.06,14.5,14.919,14.919,14.919,90.0,90.0,90.0,641.0,0.533333,3,144.0,68.0,2.0,62.0,16.0,124.0
