code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume,occupiable_volume_pct,specific_accessible_area,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections
ABW,86.37,1082.03,86.37,1082.03,23.63,5.19,23.63,5.19,1898.46,1898.46,4.1,4.1,4.24,2.61,3.51,2.61,17.6,9.873,5.254,8.77,90.0,90.0,90.0,833.0,0.703704,1,24.0,8.0,0.0,24.0,12.0,36.0
ACO,242.43,1518.66,242.43,1518.66,84.34,8.68,84.34,8.68,2494.75,2494.75,4.2,4.2,4.58,3.56,3.56,3.56,16.5,9.905,9.905,9.905,90.0,90.0,90.0,787.0,0.666667,3,48.0,44.0,2.0,12.0,8.0,12.0
AEI,699.85,1461.34,705.25,1472.63,552.0,17.31,552.38,17.32,2194.31,2211.26,8.0,4.3,7.33,3.84,3.84,3.64,15.1,13.677,12.607,18.497,90.0,90.0,90.0,689.0,0.583081,3,144.0,44.0,8.0,36.0,20.0,96.0
AEL,217.23,544.31,217.23,544.31,141.11,6.77,141.11,6.77,1041.96,1041.96,5.3,5.3,5.64,4.63,2.01,2.01,19.2,8.312,18.729,13.392,90.0,90.0,90.0,904.0,0.766975,1,120.0,88.0,0.0,95.0,131.0,366.0
AEN,315.9,659.63,315.9,659.63,95.96,4.02,95.96,4.02,1324.68,1324.68,5.1,3.7,4.43,1.21,3.38,3.66,20.1,18.531,13.355,9.636,90.0,90.0,90.0,956.0,0.857768,2,144.0,132.0,4.0,32.0,24.0,96.0
AET,413.24,575.25,422.28,587.84,509.36,12.88,509.89,12.9,1045.33,1068.2,8.2,8.2,8.41,1.78,1.78,7.59,18.2,32.829,14.38,8.374,90.0,90.0,90.0,824.0,0.697917,1,216.0,160.0,15.0,135.0,276.0,1186.0
AFG,0.0,0.0,485.08,1012.89,0.0,0.0,286.41,10.1,0.0,1711.19,7.0,2.7,6.37,2.55,2.55,2.54,16.9,12.548,12.548,20.789,90.0,90.0,120.0,816.0,0.693333,0,144.0,136.0,8.0,65.0,39.0,141.0
AFI,173.69,725.35,178.71,746.31,199.82,14.07,200.2,14.09,1222.63,1257.95,8.1,8.1,8.3,2.22,2.22,7.42,16.9,13.827,13.827,8.58,90.0,90.0,120.0,828.0,0.7,1,72.0,66.0,4.0,18.0,22.0,46.0
AFN,338.35,1059.75,338.35,1059.75,143.84,7.82,143.84,7.82,1839.3,1839.3,5.9,3.7,5.25,2.85,2.53,2.85,17.4,14.02,13.466,10.202,90.0,107.239,90.0,777.0,0.661111,3,96.0,76.0,2.0,63.0,48.0,175.0
AFO,226.65,567.92,226.65,567.92,150.57,7.23,150.57,7.23,1088.33,1088.33,5.6,5.6,5.43,2.21,1.49,5.07,19.2,9.764,25.614,8.327,90.0,90.0,90.0,907.0,0.769676,1,120.0,90.0,8.0,68.0,98.0,291.0
AFR,414.17,1297.25,414.17,1297.25,413.86,19.62,413.86,19.62,1963.08,1963.08,7.6,7.6,8.36,1.64,3.77,6.97,15.2,22.305,13.567,6.972,90.0,90.0,90.0,687.0,0.579229,2,96.0,38.0,4.0,8.0,10.0,12.0
AFS,799.04,1430.12,799.04,1430.12,826.59,21.6,826.59,21.6,2087.69,2087.69,10.2,6.7,9.51,3.76,3.76,6.01,14.6,13.058,13.058,25.919,90.0,90.0,120.0,656.0,0.56875,3,168.0,54.0,24.0,14.0,32.0,30.0
AFT,1052.24,1464.77,1059.62,1475.05,826.17,17.28,826.66,17.29,2201.11,2216.55,8.0,4.1,7.75,3.68,3.68,3.68,15.1,13.691,13.691,29.449,90.0,90.0,120.0,685.0,0.585714,3,216.0,84.0,10.0,84.0,70.0,228.0
AFV,402.98,1346.34,403.03,1346.49,291.48,15.29,291.48,15.29,2113.88,2114.12,,,7.08,3.46,3.46,2.48,15.7,13.2261,13.2261,12.5838,90.0,90.0,120.0,704.0,,2,,,,,,
AFX,700.71,1463.14,707.12,1476.54,550.95,17.28,551.41,17.29,2197.15,2217.27,7.8,4.1,7.76,3.73,3.73,3.73,15.1,13.674,13.674,19.695,90.0,90.0,120.0,689.0,0.585714,3,144.0,60.0,6.0,56.0,56.0,154.0
AFY,283.1,1773.41,283.1,1773.41,247.88,21.88,247.88,21.88,2499.38,2499.38,8.5,6.5,7.82,4.08,4.08,5.9,14.1,12.33,12.33,8.603,90.0,90.0,120.0,585.0,0.488889,3,48.0,15.0,1.0,7.0,5.0,24.0
AHT,0.0,0.0,143.1,597.62,0.0,0.0,32.13,2.57,0.0,1145.88,4.6,3.4,3.95,2.4,2.4,2.75,19.2,15.794,9.206,8.589,90.0,90.0,90.0,853.0,0.729167,1,72.0,56.0,4.0,40.0,28.0,92.0
ANA,0.0,0.0,215.46,449.91,0.0,0.0,50.63,2.03,0.0,862.83,4.9,3.0,4.21,2.43,2.43,2.43,19.2,13.567,13.567,13.567,90.0,90.0,90.0,933.0,0.8,3,144.0,112.0,16.0,64.0,56.0,176.0
APC,328.22,1028.03,328.22,1028.03,86.79,4.8,86.79,4.8,1814.67,1814.67,4.9,3.8,4.23,3.16,2.57,2.6,17.7,8.992,19.356,10.392,90.0,90.0,90.0,814.0,0.696296,2,96.0,44.0,2.0,38.0,42.0,74.0
APD,280.67,879.08,280.67,879.08,101.94,5.73,101.94,5.73,1577.59,1577.59,5.6,3.8,4.93,3.63,2.45,2.68,18.0,8.724,20.06,10.166,90.0,90.0,90.0,888.0,0.759019,2,96.0,88.0,4.0,32.0,32.0,76.0
AST,0.0,0.0,466.79,1169.63,0.0,0.0,382.68,15.13,0.0,1845.89,8.6,2.5,7.94,1.91,1.91,1.91,15.8,13.624,13.624,13.624,90.0,90.0,90.0,742.0,0.625,0,120.0,136.0,8.0,120.0,32.0,240.0
ASV,151.84,760.94,151.84,760.94,73.05,6.98,73.05,6.98,1449.92,1449.92,6.1,,5.43,1.52,1.52,4.43,19.1,8.674,8.674,13.919,90.0,90.0,90.0,787.0,0.666667,1,60.0,144.0,5.0,0.0,5.0,0.0
ATN,135.65,849.73,141.5,886.4,65.56,7.3,66.01,7.35,1510.56,1575.74,6.6,4.7,5.91,1.94,1.94,4.11,17.8,13.071,13.071,5.256,90.0,90.0,90.0,833.0,0.703704,1,48.0,52.0,2.0,10.0,8.0,26.0
ATO,196.84,548.02,198.36,552.26,132.95,6.93,132.96,6.94,1026.76,1034.7,6.1,6.1,5.74,2.12,2.12,5.49,18.8,20.914,20.914,5.061,90.0,90.0,120.0,894.0,0.76,1,108.0,153.0,3.0,28.0,23.0,44.0
ATS,246.34,1028.74,253.93,1060.47,233.63,15.64,234.05,15.67,1649.19,1700.04,7.3,7.3,7.3,2.44,1.62,6.82,16.1,13.164,21.584,5.257,90.0,90.0,90.0,752.0,0.64,1,72.0,35.0,6.0,26.0,40.0,62.0
ATT,146.31,1222.0,146.31,1222.0,64.48,9.18,64.48,9.18,2082.41,2082.41,6.1,4.3,5.42,3.79,3.69,1.41,17.1,9.98,7.514,9.369,90.0,90.0,90.0,768.0,0.647619,2,36.0,8.0,1.0,14.0,11.0,40.0
ATV,132.71,554.24,137.44,573.99,49.76,3.92,50.06,3.94,1045.82,1083.08,5.4,4.1,4.74,3.48,2.39,2.14,18.9,8.579,15.311,9.661,90.0,90.0,90.0,960.0,0.816667,1,72.0,68.0,12.0,20.0,28.0,58.0
AVL,561.11,1339.03,569.05,1357.97,381.11,14.36,382.06,14.4,2114.83,2144.74,,,7.14,3.55,3.55,2.48,15.8,13.2381,13.2381,17.482,90.0,90.0,120.0,710.0,,2,,,,,,
AWO,395.18,825.18,395.18,825.18,140.82,5.35,140.82,5.35,1500.99,1500.99,5.8,4.3,5.16,3.67,3.04,1.89,18.2,9.101,15.035,19.241,90.0,90.0,90.0,828.0,0.708843,1,144.0,60.0,8.0,43.0,39.0,102.0
AWW,227.83,951.46,234.47,979.19,170.64,12.04,171.07,12.07,1606.98,1653.81,8.1,4.8,7.48,1.86,1.86,4.17,16.9,13.634,13.634,7.627,90.0,90.0,90.0,772.0,0.656085,1,72.0,40.0,4.0,6.0,8.0,18.0
BCT,31.21,391.02,38.09,477.19,1.89,0.45,3.7,0.88,741.12,904.44,4.4,3.2,3.8,2.55,2.55,2.91,19.0,8.952,8.952,5.255,90.0,90.0,90.0,959.0,0.814815,1,24.0,34.0,2.0,8.0,6.0,12.0
BEA,779.31,1220.45,779.37,1220.55,857.32,20.52,857.32,20.52,1865.08,1865.23,6.9,6.7,6.68,5.95,5.95,5.95,15.3,12.632,12.632,26.186,90.0,90.0,90.0,805.0,0.704545,3,192.0,56.0,12.0,36.0,78.0,138.0
BEC,394.4,1235.31,398.12,1246.96,448.15,21.18,448.26,21.18,1863.71,1881.3,7.2,7.2,6.95,6.09,6.09,6.09,15.1,12.77,12.77,12.977,90.0,90.0,90.0,764.0,0.65664,3,96.0,62.0,6.0,10.0,14.0,10.0
BIK,88.13,736.06,88.13,736.08,25.49,3.96,25.49,3.96,1370.79,1370.84,4.8,3.6,4.17,2.55,1.56,3.55,18.7,7.54,16.222,5.256,90.0,90.0,90.0,1052.0,0.907407,1,36.0,12.0,2.0,25.0,13.0,61.0
BOF,202.04,843.74,202.04,843.74,118.96,9.06,118.96,9.06,1538.13,1538.13,6.2,4.3,5.58,4.67,1.77,1.77,18.3,7.503,12.773,13.706,90.0,90.0,90.0,880.0,,1,72.0,20.0,2.0,20.0,10.0,58.0
BOG,1058.29,1104.9,1058.29,1104.9,1083.77,18.13,1083.77,18.13,1770.05,1770.05,7.4,7.4,8.05,6.88,4.92,4.92,16.1,20.014,23.58,12.669,90.0,90.0,90.0,781.0,0.659922,2,288.0,108.0,0.0,103.0,127.0,269.0
BOZ,1914.74,2085.99,1914.74,2085.99,1583.94,22.27,1583.94,22.27,2692.23,2692.23,9.3,5.4,8.71,4.92,3.68,4.92,12.9,14.1488,35.7082,14.077,90.0,90.0,90.0,748.0,,3,276.0,44.0,12.0,192.0,56.0,528.0
BPH,395.94,1417.31,395.94,1417.31,414.63,21.65,414.63,21.65,2067.81,2067.81,10.1,6.7,9.51,3.51,3.51,6.01,14.6,13.057,13.057,12.969,90.0,90.0,120.0,667.0,0.56875,3,84.0,24.0,6.0,21.0,11.0,42.0
BRE,142.13,890.36,142.13,890.36,59.8,6.84,59.8,6.84,1626.29,1626.29,5.9,3.5,5.29,2.74,1.64,2.96,18.3,6.76,17.093,7.603,90.0,95.827,90.0,901.0,0.778031,2,48.0,10.0,2.0,12.0,6.0,35.0
BSV,850.0,887.44,850.0,887.44,338.28,6.59,338.28,6.59,1655.39,1655.39,,,5.17,3.84,3.84,3.84,18.7,17.252,17.252,17.252,90.0,90.0,90.0,831.0,,3,,,,,,
CAN,74.1,618.93,122.85,1026.11,59.72,8.41,71.75,10.1,1043.3,1729.66,6.6,6.6,6.27,2.53,2.53,5.96,16.9,12.494,12.494,5.254,90.0,90.0,120.0,817.0,0.693333,1,36.0,35.0,2.0,6.0,8.0,13.0
CAS,154.22,644.04,154.22,644.04,50.57,3.95,50.57,3.95,1205.22,1205.22,5.7,3.5,5.05,2.97,2.21,2.45,18.8,5.256,14.132,17.227,90.0,90.0,90.0,1042.0,0.895949,1,72.0,23.0,4.0,30.0,20.0,66.0
CDO,341.32,950.29,341.32,950.29,155.84,7.82,155.84,7.82,1711.75,1711.75,6.4,3.9,5.78,3.44,1.52,3.35,18.1,7.557,18.715,14.099,90.0,90.0,90.0,1053.0,0.930227,2,108.0,14.0,12.0,28.0,24.0,92.0
CFI,232.18,727.22,280.74,879.32,255.41,13.38,263.58,13.81,1216.67,1471.14,7.5,7.4,7.47,2.62,7.26,2.4,16.8,13.961,5.264,25.967,90.0,90.0,90.0,892.0,0.765153,1,96.0,62.0,5.0,23.0,29.0,37.0
CGF,126.31,351.67,253.2,704.95,55.81,2.95,113.13,5.97,666.62,1336.29,6.4,3.5,5.76,2.29,1.46,3.03,19.0,15.501,16.902,7.273,90.0,96.07,90.0,819.0,0.695238,2,108.0,88.0,4.0,44.0,32.0,110.0
CGS,375.41,1175.84,375.41,1175.84,201.07,10.62,201.07,10.62,1981.88,1981.88,6.5,4.3,5.86,4.01,2.97,2.97,16.9,8.444,14.083,15.929,90.0,90.0,90.0,718.0,0.613333,3,96.0,40.0,4.0,39.0,26.0,131.0
CHA,525.79,1463.85,530.01,1475.61,413.04,17.27,413.35,17.28,2198.53,2216.19,8.0,4.2,7.37,3.72,3.72,3.72,15.1,13.675,13.675,14.767,90.0,90.0,120.0,677.0,0.566667,3,108.0,36.0,6.0,42.0,21.0,126.0
CHI,132.2,473.21,132.2,473.21,33.7,2.39,33.7,2.39,937.42,937.42,4.0,4.0,3.93,3.63,1.25,1.51,19.9,5.01,31.234,9.012,90.0,90.0,90.0,913.0,0.833441,1,88.0,27.0,5.0,4.0,9.0,4.0
CLO,3839.95,2004.54,3839.95,2004.54,5824.3,33.76,5824.3,33.76,2225.61,2225.61,16.4,7.0,15.72,6.31,6.31,6.31,11.1,25.84,25.84,25.84,90.0,90.0,90.0,456.0,0.44329,3,588.0,369.0,44.0,184.0,234.0,989.0
CON,663.44,1187.42,663.44,1187.42,683.92,19.18,683.92,19.18,1860.28,1860.28,8.1,6.2,7.45,4.89,4.89,5.6,15.7,22.684,13.373,12.553,90.0,69.479,90.0,784.0,0.670229,3,168.0,86.0,11.0,44.0,74.0,142.0
CSV,,,,,,,,,,,,,,,,,16.2,13.02702,11.18216,9.21893,92.35,107.3,104.5,757.0,,2,,,,,,
CZP,142.11,593.46,142.11,593.46,44.68,3.97,44.68,3.97,1261.6,1261.6,4.2,,4.26,1.25,1.25,3.68,20.6,9.355,9.355,14.862,90.0,90.0,120.0,885.0,0.8,1,72.0,156.0,0.0,18.0,36.0,60.0
DAC,261.51,1092.11,261.51,1092.11,130.63,9.5,130.63,9.5,1901.67,1901.67,5.8,4.8,5.28,1.57,4.19,3.66,17.5,18.574,7.542,10.377,90.0,108.917,90.0,977.0,0.84119,2,72.0,28.0,2.0,8.0,8.0,12.0
DDR,803.48,671.09,1062.91,887.78,618.22,9.21,706.02,10.51,1196.39,1582.69,8.3,3.3,7.66,3.65,3.65,2.63,17.9,13.795,13.795,40.75,90.0,90.0,120.0,968.0,0.850801,2,360.0,69.0,18.0,36.0,30.0,90.0
DFO,1702.48,1292.7,1702.48,1292.7,1950.88,22.01,1950.88,22.01,1920.48,1920.48,11.9,7.8,11.29,5.08,5.08,7.19,14.9,21.995,21.995,21.159,90.0,90.0,120.0,664.0,0.576042,3,396.0,285.0,26.0,121.0,92.0,260.0
DFT,93.15,1167.06,93.15,1167.06,29.74,6.58,29.74,6.58,2062.47,2062.47,5.7,4.3,5.1,3.07,3.07,3.65,17.7,7.075,7.075,9.023,90.0,90.0,90.0,840.0,0.711111,3,24.0,32.0,2.0,5.0,6.0,13.0
DOH,0.0,0.0,338.65,998.3,0.0,0.0,219.72,10.96,0.0,1688.85,8.5,3.3,7.85,2.55,2.55,2.62,17.0,14.19,14.19,11.499,90.0,90.0,120.0,1002.0,0.882191,0,102.0,37.0,6.0,22.0,16.0,50.0
DON,417.23,653.41,422.7,661.97,582.78,15.59,583.03,15.6,1116.2,1130.84,8.7,8.7,8.79,2.19,1.79,8.07,17.1,18.89,23.365,8.469,90.0,90.0,90.0,851.0,0.72892,1,192.0,88.0,8.0,82.0,102.0,210.0
EAB,458.05,1275.26,458.19,1275.66,323.11,14.32,323.11,14.32,2029.77,2030.41,7.4,3.4,7.14,3.54,3.54,2.5,16.0,13.178,13.178,15.005,90.0,90.0,120.0,735.0,0.628571,2,108.0,46.0,4.0,40.0,30.0,96.0
EDI,69.74,1397.95,69.74,1397.95,29.27,9.52,29.27,9.52,2268.03,2268.03,6.4,4.1,5.72,3.2,3.2,3.44,16.3,6.926,6.926,6.41,90.0,90.0,90.0,786.0,0.666667,3,15.0,12.0,1.0,7.0,4.0,17.0
EEI,1406.41,704.81,1463.77,733.55,1044.49,9.36,1050.3,9.42,1260.95,1312.38,,,6.96,3.11,2.15,2.23,17.9,13.8761,35.745,22.4869,90.0,90.0,90.0,1009.0,,1,,,,,,
EMT,1160.53,1211.65,1337.69,1396.6,1973.81,27.39,2060.01,28.58,1610.22,1856.02,12.2,8.0,11.55,6.54,6.54,7.37,13.3,17.215,17.215,28.082,90.0,90.0,120.0,584.0,0.493095,3,288.0,164.0,16.0,60.0,97.0,283.0
EON,622.17,1039.32,622.17,1039.32,444.77,12.48,444.77,12.48,1746.2,1746.2,7.3,7.3,7.83,6.79,3.24,1.9,16.8,7.571,18.148,25.932,90.0,90.0,90.0,873.0,0.769676,2,180.0,53.0,4.0,30.0,24.0,56.0
EPI,253.39,1058.21,253.39,1058.21,122.71,9.04,122.71,9.04,1867.09,1867.09,6.1,4.1,5.47,3.62,1.25,3.48,17.7,9.127,17.48,10.377,90.0,124.939,90.0,979.0,0.845059,2,72.0,11.0,2.0,10.0,7.0,36.0
ERI,419.59,1168.2,425.89,1185.74,338.14,15.1,338.64,15.12,1873.63,1901.76,7.7,3.3,7.04,3.42,3.42,3.42,16.1,13.054,13.054,15.175,90.0,90.0,120.0,738.0,0.628571,3,108.0,58.0,6.0,32.0,18.0,84.0
ESV,367.63,767.64,438.79,916.23,226.17,8.36,242.69,8.97,1359.44,1622.59,6.9,3.7,6.22,1.78,3.66,1.78,17.7,9.686,12.226,22.836,90.0,90.0,90.0,875.0,0.754994,1,144.0,20.0,8.0,30.0,22.0,80.0
ETR,552.54,1153.76,552.54,1153.76,589.31,18.97,589.31,18.97,1778.48,1778.48,10.0,10.0,10.05,2.85,2.85,9.33,15.4,20.634,20.634,8.426,90.0,90.0,120.0,675.0,0.5767,3,144.0,123.0,2.0,30.0,28.0,50.0
EUO,928.38,830.8,971.88,869.73,800.87,12.24,805.89,12.32,1419.37,1485.88,6.7,5.6,7.0,4.99,1.98,2.5,17.1,13.901,22.861,20.582,90.0,90.0,90.0,965.0,0.872973,1,336.0,72.0,20.0,96.0,100.0,209.0
EWT,,,,,,,,,,,,,,,,,14.5,19.80114,19.80114,14.18779,90.0,90.0,120.0,692.0,,3,,,,,,
EZT,422.14,881.46,422.82,882.89,366.76,13.14,366.77,13.14,1512.62,1515.08,6.8,6.8,6.57,6.13,2.12,2.12,17.2,10.233,12.558,21.717,90.0,90.0,90.0,754.0,0.639,1,144.0,128.0,8.0,22.0,40.0,54.0
FAR,0.0,0.0,821.34,980.01,0.0,0.0,473.1,9.63,0.0,1671.05,6.7,2.7,6.36,2.47,2.47,2.26,17.1,12.601,12.601,35.743,90.0,90.0,120.0,806.0,0.693,0,252.0,256.0,16.0,84.0,52.0,172.0
FAU,2320.63,1211.42,2678.25,1398.11,3956.18,27.42,4128.07,28.61,1608.34,1856.19,11.9,6.7,11.24,7.35,7.35,7.35,13.3,24.345,24.345,24.345,90.0,90.0,90.0,579.0,0.47619,3,576.0,304.0,32.0,208.0,96.0,496.0
FER,343.76,957.07,343.76,957.07,205.34,10.01,205.34,10.01,1675.85,1675.85,7.0,5.3,6.31,1.56,3.4,4.69,17.6,19.018,14.303,7.541,90.0,90.0,90.0,1021.0,0.887635,2,108.0,38.0,10.0,16.0,17.0,31.0
FRA,0.0,0.0,754.55,1260.45,0.0,0.0,460.35,12.0,0.0,1967.66,7.3,3.3,6.67,2.7,2.7,2.66,17.1,12.916,12.916,26.543,90.0,90.0,120.0,802.0,0.683983,0,180.0,176.0,10.0,150.0,51.0,300.0
GIS,239.29,1498.98,239.29,1498.98,91.5,9.38,91.5,9.38,2452.32,2452.32,5.6,3.9,4.97,3.32,3.32,3.32,16.4,9.801,9.801,10.158,90.0,90.0,90.0,726.0,0.611111,3,48.0,8.0,4.0,24.0,12.0,72.0
GIU,0.0,0.0,919.13,959.61,0.0,0.0,538.19,9.6,0.0,1640.12,7.0,2.9,6.32,2.59,2.59,2.32,17.1,12.559,12.559,41.026,90.0,90.0,120.0,811.0,0.69333,0,288.0,296.0,16.0,138.0,78.0,320.0
