code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume_pct,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections,vol_accessibility_ratio,area_vol_ratio,pore_anisotropy,confinement_ratio,connections_per_atom,ab_ratio,bc_ratio,CO2_capacity_mmol_g,CO2_N2_selectivity,desorption_energy_kJ_mol,data_source
BRE,142.13,890.36,142.13,890.36,59.8,6.84,6.84,1626.29,5.9,3.5,5.29,2.74,1.64,2.96,18.3,6.76,17.093,7.603,90.0,95.827,90.0,901.0,0.778031,2.0,48.0,10.0,2.0,12.0,6.0,35.0,1.0,130.16959064327486,0.2890467530542848,0.5932203389830508,0.7291666666666666,0.39548353127011054,2.2481915033539392,0.8,25.0,29.0,literature
BSV,850.0,887.44,850.0,887.44,338.28,6.59,6.59,1655.39,6.9,4.7,5.17,3.84,3.84,3.84,18.7,17.252,17.252,17.252,90.0,90.0,90.0,831.0,0.6981845,3.0,108.0,59.0,6.0,31.0,29.0,72.0,1.0,134.66464339908953,0.0,0.7083333333333334,0.6477272727272727,1.0,1.0,0.5558758988984458,25.28996901509774,27.51303978645524,estimated
CAN,74.1,618.93,122.85,1026.11,59.72,8.41,10.1,1729.66,6.6,6.6,6.27,2.53,2.53,5.96,16.9,12.494,12.494,5.254,90.0,90.0,120.0,817.0,0.693333,1.0,36.0,35.0,2.0,6.0,8.0,13.0,0.8326732673267327,73.59453032104636,0.539104743190676,1.0,0.3611111111111111,1.0,2.3779977160258854,0.7,25.0,30.0,literature
CAS,154.22,644.04,154.22,644.04,50.57,3.95,3.95,1205.22,5.7,3.5,5.05,2.97,2.21,2.45,18.8,5.256,14.132,17.227,90.0,90.0,90.0,1042.0,0.895949,1.0,72.0,23.0,4.0,30.0,20.0,66.0,1.0,163.04810126582277,0.1527528417754492,0.6140350877192983,0.9166666666666666,0.3719218794225871,0.8203401636965229,0.55,18.0,27.0,literature
CDO,341.32,950.29,341.32,950.29,155.84,7.82,7.82,1711.75,6.4,3.9,5.78,3.44,1.52,3.35,18.1,7.557,18.715,14.099,90.0,90.0,90.0,1053.0,0.930227,2.0,108.0,14.0,12.0,28.0,24.0,92.0,1.0,121.52046035805625,0.39114319800091996,0.609375,0.8518518518518519,0.4037937483302164,1.3273991063195971,0.5,22.0,28.0,literature
CFI,232.18,727.22,280.74,879.32,255.41,13.38,13.81,1471.14,7.5,7.4,7.47,2.62,7.26,2.4,16.8,13.961,5.264,25.967,90.0,90.0,90.0,892.0,0.765153,1.0,96.0,62.0,5.0,23.0,29.0,37.0,0.9688631426502534,54.351270553064275,0.6705095222653309,0.9866666666666667,0.3854166666666667,2.6521656534954405,0.2027188354449879,0.75,14.0,25.0,literature
CGF,126.31,351.67,253.2,704.95,55.81,2.95,5.97,1336.29,6.4,3.5,5.76,2.29,1.46,3.03,19.0,15.501,16.902,7.273,90.0,96.07,90.0,819.0,0.695238,2.0,108.0,88.0,4.0,44.0,32.0,110.0,0.4941373534338359,119.21016949152542,0.34753531797980425,0.546875,1.0185185185185186,0.9171104011359602,2.3239378523305376,0.543923811212059,20.225849825498372,27.788405977948823,estimated
CGS,375.41,1175.84,375.41,1175.84,201.07,10.62,10.62,1981.88,6.5,4.3,5.86,4.01,2.97,2.97,16.9,8.444,14.083,15.929,90.0,90.0,90.0,718.0,0.613333,3.0,96.0,40.0,4.0,39.0,26.0,131.0,1.0,110.71939736346516,0.18103847636900822,0.6615384615384615,1.3645833333333333,0.5995881559326849,0.8841107414150292,1.465923612784994,46.860253308995354,32.08472405020394,estimated
CHA,525.79,1463.85,530.01,1475.61,413.04,17.27,17.28,2216.19,8.0,4.2,7.37,3.72,3.72,3.72,15.1,13.675,13.675,14.767,90.0,90.0,120.0,677.0,0.566667,3.0,108.0,36.0,6.0,42.0,21.0,126.0,0.9994212962962962,84.76259409380428,0.0,0.525,1.1666666666666667,1.0,0.9260513306697367,2.2,110.0,34.0,literature
CHI,132.2,473.21,132.2,473.21,33.7,2.39,2.39,937.42,4.0,4.0,3.93,3.63,1.25,1.51,19.9,5.01,31.234,9.012,90.0,90.0,90.0,913.0,0.833441,1.0,88.0,27.0,5.0,4.0,9.0,4.0,1.0,197.99581589958157,0.612923339732116,1.0,0.045454545454545456,0.16040212588845487,3.4658233466489126,0.4814327539023374,15.534458791078565,26.35306197526896,estimated
CLO,3839.95,2004.54,3839.95,2004.54,5824.3,33.76,33.76,2225.61,16.4,7.0,15.72,6.31,6.31,6.31,11.1,25.84,25.84,25.84,90.0,90.0,90.0,456.0,0.44329,3.0,588.0,369.0,44.0,184.0,234.0,989.0,1.0,59.37618483412322,0.0,0.426829268292683,1.6819727891156462,1.0,1.0,1.4,35.0,31.0,literature
